# 20160802-20160809,,,,,,,,
经销商,访问日期,PV,UV,平均页面停留时间,进入次数,跳出百分比,退出百分比,价值
/point/pages/scan.html?dealerCode=80370,2016080411,31,20,0:00:09,16,6.25%,16.13%,US$0.00 
/point/pages/scan.html?dealerCode=81390,2016080309,31,4,0:02:02,4,25.00%,16.13%,US$0.00 
/point/pages/scan.html?dealerCode=10710,2016080610,30,14,0:00:08,10,0.00%,13.33%,US$0.00 
/point/pages/scan.html?dealerCode=10710,2016080909,30,8,0:00:11,7,0.00%,10.00%,US$0.00 
/point/pages/scan.html?dealerCode=11310,2016080911,30,15,0:00:15,13,7.69%,13.33%,US$0.00 
/point/pages/scan.html?dealerCode=11340,2016080212,30,23,0:00:07,17,17.65%,26.67%,US$0.00 
/point/pages/scan.html?dealerCode=30480,2016080612,30,19,0:01:05,12,8.33%,6.67%,US$0.00 
/point/pages/scan.html?dealerCode=30500,2016080814,30,9,0:01:30,7,0.00%,10.00%,US$0.00 
/point/pages/scan.html?dealerCode=30520,2016080313,30,7,0:00:35,7,14.29%,16.67%,US$0.00 
/point/pages/scan.html?dealerCode=10100,2016080309,29,15,0:03:40,15,26.67%,31.03%,US$0.00 
/point/pages/scan.html?dealerCode=10320,2016080815,29,15,0:01:18,9,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=11350,2016080512,29,21,0:00:08,17,23.53%,27.59%,US$0.00 
/point/pages/scan.html?dealerCode=11360,2016080315,29,8,0:02:25,8,37.50%,20.69%,US$0.00 
/point/pages/scan.html?dealerCode=21360,2016080309,29,4,0:00:49,4,25.00%,13.79%,US$0.00 
/point/pages/scan.html?dealerCode=21610,2016080214,29,21,0:00:26,16,18.75%,27.59%,US$0.00 
/point/pages/scan.html?dealerCode=31520,2016080914,29,7,0:01:19,6,16.67%,17.24%,US$0.00 
/point/pages/scan.html?dealerCode=10100,2016080216,28,15,0:00:06,11,18.18%,14.29%,US$0.00 
/point/pages/scan.html?dealerCode=10710,2016080710,28,11,0:00:46,9,0.00%,3.57%,US$0.00 
/point/pages/scan.html?dealerCode=10880,2016080311,28,17,0:01:43,15,13.33%,17.86%,US$0.00 
/point/pages/scan.html?dealerCode=11000,2016080311,28,15,0:00:14,15,6.67%,32.14%,US$0.00 
/point/pages/scan.html?dealerCode=11070,2016080513,28,11,0:00:33,8,0.00%,7.14%,US$0.00 
/point/pages/scan.html?dealerCode=20300,2016080418,28,22,0:01:27,17,11.76%,25.00%,US$0.00 
