# 20160802-20160809,,,,,,,,
,,,,,,,,
经销商,访问日期,PV,UV,平均页面停留时间,进入次数,跳出百分比,退出百分比,价值
/point/pages/scan.html?dealerCode=11020,2016080919,3,2,0:00:06,2,0.00%,33.33%,US$0.00 
/point/pages/scan.html?dealerCode=11070,2016080815,2,2,0:00:06,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=11100,2016080613,2,2,0:00:06,2,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=11260,2016080612,3,2,0:00:06,1,0.00%,33.33%,US$0.00 
/point/pages/scan.html?dealerCode=11490,2016080710,5,2,0:00:06,1,0.00%,20.00%,US$0.00 
/point/pages/scan.html?dealerCode=11490,2016080713,3,2,0:00:06,1,0.00%,33.33%,US$0.00 
/point/pages/scan.html?dealerCode=11740,2016080819,2,2,0:00:06,2,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=11830,2016080514,4,3,0:00:06,3,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=11840,2016080910,2,2,0:00:06,2,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=20220,2016080412,3,2,0:00:06,1,0.00%,33.33%,US$0.00 
/point/pages/scan.html?dealerCode=20320,2016080516,5,3,0:00:06,2,0.00%,20.00%,US$0.00 
/point/pages/scan.html?dealerCode=20400,2016080913,2,2,0:00:06,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=20490,2016080210,5,4,0:00:06,2,0.00%,20.00%,US$0.00 
/point/pages/scan.html?dealerCode=20490,2016080415,2,2,0:00:06,2,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=20590,2016080216,3,2,0:00:06,1,0.00%,33.33%,US$0.00 
/point/pages/scan.html?dealerCode=20750,2016080811,2,2,0:00:06,2,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=20810,2016080310,2,1,0:00:06,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=20810,2016080411,2,1,0:00:06,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=20880,2016080913,3,3,0:00:06,2,50.00%,33.33%,US$0.00 
/point/pages/scan.html?dealerCode=20940,2016080811,14,9,0:00:06,6,0.00%,14.29%,US$0.00 
/point/pages/scan.html?dealerCode=20980,2016080408,5,3,0:00:06,2,0.00%,20.00%,US$0.00 
/point/pages/scan.html?dealerCode=21110,2016080416,2,2,0:00:06,2,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=21110,2016080808,3,1,0:00:06,1,0.00%,33.33%,US$0.00 
/point/pages/scan.html?dealerCode=21140,2016080815,2,2,0:00:06,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=21200,2016080214,7,4,0:00:06,2,0.00%,14.29%,US$0.00 
/point/pages/scan.html?dealerCode=21260,2016080909,4,2,0:00:06,2,0.00%,50.00%,US$0.00 
/point/pages/scan.html?dealerCode=21280,2016080908,2,1,0:00:06,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=21410,2016080213,3,2,0:00:06,2,0.00%,33.33%,US$0.00 
/point/pages/scan.html?dealerCode=21610,2016080910,2,2,0:00:06,2,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=21630,2016080714,2,2,0:00:06,2,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=21630,2016080717,3,2,0:00:06,2,50.00%,33.33%,US$0.00 
/point/pages/scan.html?dealerCode=21630,2016080816,2,2,0:00:06,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=21630,2016080822,2,1,0:00:06,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=21740,2016080910,2,1,0:00:06,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=22100,2016080512,3,1,0:00:06,1,0.00%,33.33%,US$0.00 
/point/pages/scan.html?dealerCode=22300,2016080222,2,0,0:00:06,0,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=22300,2016080513,7,2,0:00:06,1,0.00%,14.29%,US$0.00 
/point/pages/scan.html?dealerCode=30230,2016080500,3,2,0:00:06,2,50.00%,33.33%,US$0.00 
/point/pages/scan.html?dealerCode=30230,2016080810,3,2,0:00:06,2,0.00%,33.33%,US$0.00 
/point/pages/scan.html?dealerCode=30240,2016080509,2,0,0:00:06,0,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=30480,2016080409,2,2,0:00:06,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=30520,2016080215,3,2,0:00:06,2,0.00%,33.33%,US$0.00 
/point/pages/scan.html?dealerCode=30520,2016080810,5,4,0:00:06,2,0.00%,20.00%,US$0.00 
/point/pages/scan.html?dealerCode=30520,2016080816,2,2,0:00:06,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=30520,2016080916,2,2,0:00:06,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=30540,2016080817,3,2,0:00:06,1,0.00%,33.33%,US$0.00 
/point/pages/scan.html?dealerCode=30670,2016080410,6,3,0:00:06,2,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=30670,2016080510,3,2,0:00:06,1,0.00%,33.33%,US$0.00 
/point/pages/scan.html?dealerCode=30670,2016080909,2,1,0:00:06,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=30770,2016080709,4,2,0:00:06,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=30840,2016080714,4,3,0:00:06,3,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=31170,2016080814,2,2,0:00:06,2,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=31410,2016080600,3,1,0:00:06,1,0.00%,33.33%,US$0.00 
/point/pages/scan.html?dealerCode=31610,2016080909,2,2,0:00:06,2,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=31660,2016080710,6,2,0:00:06,0,0.00%,33.33%,US$0.00 
/point/pages/scan.html?dealerCode=31710,2016080418,2,1,0:00:06,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=50210,2016080909,2,1,0:00:06,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=50280,2016080911,2,2,0:00:06,2,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=50370,2016080414,4,3,0:00:06,0,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=50370,2016080818,3,1,0:00:06,0,0.00%,33.33%,US$0.00 
/point/pages/scan.html?dealerCode=50370,2016080911,5,3,0:00:06,0,0.00%,20.00%,US$0.00 
/point/pages/scan.html?dealerCode=50400,2016080710,3,2,0:00:06,2,0.00%,33.33%,US$0.00 
/point/pages/scan.html?dealerCode=50460,2016080216,6,3,0:00:06,2,0.00%,33.33%,US$0.00 
/point/pages/scan.html?dealerCode=50570,2016080813,4,2,0:00:06,1,0.00%,50.00%,US$0.00 
/point/pages/scan.html?dealerCode=50710,2016080611,2,2,0:00:06,1,0.00%,0.00%,US$0.00 
