# ----------------------------------------,,,,,,,,
# 20160801-20160802,,,,,,,,
# ----------------------------------------,,,,,,,,
,,,,,,,,
经销商,访问日期,PV,UV,平均页面停留时间,进入次数,跳出百分比,退出百分比,价值
/point/pages/scan.html?dealerCode=20660,2016080212,8,2,0:03:57,2,50.00%,25.00%,US$0.00 
/point/point/pages/scan.html?dealerCode=A04515,2016080115,3,1,0:03:56,0,0.00%,0.00%,US$0.00 
/point/point/pages/scan.html?dealerCode=50580,2016080111,4,1,0:03:53,1,0.00%,25.00%,US$0.00 
/point/pages/scan.html?dealerCode=81400,2016080216,3,1,0:03:52,0,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10810,2016080217,6,3,0:03:50,2,50.00%,33.33%,US$0.00 
/point/point/pages/scan.html?dealerCode=a34986,2016080109,1,1,0:03:48,0,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=31520,2016080217,6,2,0:03:48,1,0.00%,0.00%,US$0.00 
/point/point/pages/scan.html?dealerCode=10320,2016080115,3,3,0:03:45,3,0.00%,0.00%,US$0.00 
/point/point/pages/scan.html?dealerCode=50350,2016080118,5,2,0:03:25,1,0.00%,20.00%,US$0.00 
/point/pages/scan.html?dealerCode=80430,2016080211,5,0,0:03:24,0,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=80630,2016080216,6,1,0:03:21,1,0.00%,33.33%,US$0.00 
/point/point/pages/scan.html?dealerCode=21820,2016080110,5,2,0:03:18,2,50.00%,20.00%,US$0.00 
/point/point/pages/scan.html?dealerCode=23215,2016080117,3,3,0:03:18,3,33.33%,33.33%,US$0.00 
/point/point/pages/scan.html?dealerCode=51010,2016080122,10,3,0:03:17,3,33.33%,10.00%,US$0.00 
/point/point/pages/scan.html?dealerCode=20660,2016080116,7,1,0:03:07,1,0.00%,14.29%,US$0.00 
/point/pages/scan.html?dealerCode=00000,2016080217,1,1,0:03:03,1,0.00%,0.00%,US$0.00 
/point/point/pages/scan.html?dealerCode=30520,2016080114,8,5,0:03:02,4,0.00%,12.50%,US$0.00 
/point/pages/scan.html?dealerCode=50570,2016080209,4,3,0:02:59,2,0.00%,0.00%,US$0.00 
/point/point/pages/scan.html?dealerCode=21820,2016080118,3,0,0:02:57,0,0.00%,33.33%,US$0.00 
/point/pages/scan.html?dealerCode=31910,2016080211,3,2,0:02:55,2,0.00%,0.00%,US$0.00 
/point/point/pages/scan.html?dealerCode=51670,2016080113,11,4,0:02:54,3,0.00%,9.09%,US$0.00 
/point/pages/scan.html?dealerCode=10810,2016080211,18,5,0:02:53,4,0.00%,16.67%,US$0.00 
/point/point/pages/scan.html?dealerCode=16995,2016080115,6,1,0:02:51,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10090,2016080211,3,2,0:02:50,1,0.00%,0.00%,US$0.00 
